,Dy,Sm,Tm,Eu,Bkg
l-435,0.008220281576682961,0.015773324383929428,0.031045207153171165,0.007681190980539663,0.1168032786885246
l-474,0.40158547078962303,0.027759133186307412,0.636704431856048,0.013204521608298854,0.17540983606557378
l-536,0.009446916021310484,0.02665643877648864,0.04131956014661779,0.02454813612337418,0.12008196721311476
l-546,0.0034235916588857764,0.007191485281426791,0.013051205153837609,0.008770019598915131,0.060655737704918035
l-572,0.5304370114058695,0.11041327068750599,0.020770854159724537,0.00863144141112189,0.08688524590163935
l-620,0.0008238589553468446,0.021910058490746957,0.002165944685104965,0.5557183299348682,0.05
l-630,0.025265007963969903,0.30055614152843035,0.01593913140064423,0.3363886524261081,0.08196721311475409
l-650,0.006041632339210194,0.46337136829993286,0.026713317782961234,0.03822778294696415,0.05327868852459016
l-780,0.014756229289101261,0.026368779365231566,0.21229034766189048,0.006829924969809752,0.25491803278688524
